name,ascii_name,pop,timezone,country,lat,lng
Zhongshan,Zhongshan,3841873,Asia/Shanghai,CN,22.52306,113.37912
Nanning,Nanning,3839800,Asia/Shanghai,CN,22.81667,108.31667
Shantou,Shantou,3838900,Asia/Shanghai,CN,23.35489,116.67876
Yokohama,Yokohama,3761630,Asia/Tokyo,JP,35.43333,139.65
Fuzhou,Fuzhou,3740000,Asia/Shanghai,CN,26.06139,119.30611
Ningbo,Ningbo,3731203,Asia/Shanghai,CN,29.87819,121.54945
Busan,Busan,3678555,Asia/Seoul,KR,35.10168,129.03004
Casablanca,Casablanca,3665954,Africa/Casablanca,MA,33.58831,-7.61138
Ibadan,Ibadan,3649000,Africa/Lagos,NG,7.37756,3.90591
Puyang,Puyang,3590000,Asia/Shanghai,CN,29.45679,119.88872
Ankara,Ankara,3517182,Europe/Istanbul,TR,39.91987,32.85427
Dubai,Dubai,3478300,Asia/Dubai,AE,25.07725,55.30927
Shiyan,Shiyan,3460000,Asia/Shanghai,CN,32.6475,110.77806
Berlin,Berlin,3426354,Europe/Berlin,DE,52.52437,13.41053
Tangshan,Tangshan,3372102,Asia/Shanghai,CN,39.63333,118.18333
Changzhou,Changzhou,3290918,Asia/Shanghai,CN,31.77359,119.95401
Madrid,Madrid,3255944,Europe/Madrid,ES,40.4165,-3.70256
Pyongyang,Pyongyang,3222000,Asia/Pyongyang,KP,39.03385,125.75432
Zibo,Zibo,3129228,Asia/Shanghai,CN,36.79056,118.06333
Pune,Pune,3124458,Asia/Kolkata,IN,18.51957,73.85535
Durban,Durban,3120282,Africa/Johannesburg,ZA,-29.8579,31.0292
Bursa,Bursa,3101833,Europe/Istanbul,TR,40.19559,29.06013
Changsha,Changsha,3093980,Asia/Shanghai,CN,28.19874,112.97087
Guiyang,Guiyang,3037159,Asia/Shanghai,CN,26.58333,106.71667
Ürümqi,UEruemqi,3029372,Asia/Urumqi,CN,43.80096,87.60046
Lanzhou,Lanzhou,3000000,Asia/Shanghai,CN,36.05701,103.83987
Caracas,Caracas,3000000,America/Caracas,VE,10.48801,-66.87919
Incheon,Incheon,2954955,Asia/Seoul,KR,37.45646,126.70515
Huizhou,Huizhou,2900113,Asia/Shanghai,CN,23.11147,114.41523
Buenos Aires,Buenos Aires,2891082,America/Argentina/Buenos_Aires,AR,-34.61315,-58.37723
Surabaya,Surabaya,2874314,Asia/Jakarta,ID,-7.24917,112.75083
Haikou,Haikou,2873358,Asia/Shanghai,CN,20.03421,110.34651
Kanpur,Kanpur,2823249,Asia/Kolkata,IN,26.46523,80.34975
Kyiv,Kyiv,2797553,Europe/Kyiv,UA,50.45466,30.5238
Quito,Quito,2781641,America/Guayaquil,EC,-0.22985,-78.52495
Luanda,Luanda,2776168,Africa/Luanda,AO,-8.83682,13.23432
Quezon City,Quezon City,2761720,Asia/Manila,PH,14.6488,121.0509
Osaka,Osaka,2753862,Asia/Tokyo,JP,34.69379,135.50107
Linyi,Linyi,2743843,Asia/Shanghai,CN,35.06306,118.34278
Baoding,Baoding,2739887,Asia/Shanghai,CN,38.87288,115.46246
Brooklyn,Brooklyn,2736074,America/New_York,US,40.6501,-73.94958
Guayaquil,Guayaquil,2723665,America/Guayaquil,EC,-2.19616,-79.88621
Belo Horizonte,Belo Horizonte,2721564,America/Sao_Paulo,BR,-19.92083,-43.93778
Salvador,Salvador,2711840,America/Bahia,BR,-12.97563,-38.49096
Jaipur,Jaipur,2711758,Asia/Kolkata,IN,26.91962,75.78781
Chicago,Chicago,2696555,America/Chicago,US,41.85003,-87.65005
Abuja,Abuja,2690000,Africa/Lagos,NG,9.05785,7.49508
Wenzhou,Wenzhou,2650000,Asia/Shanghai,CN,27.99942,120.66682
Dakar,Dakar,2646503,Africa/Dakar,SN,14.6937,-17.44406
Yunfu,Yunfu,2612800,Asia/Shanghai,CN,22.92787,112.03809
Navi Mumbai,Navi Mumbai,2600000,Asia/Kolkata,IN,19.03681,73.01582
Toronto,Toronto,2600000,America/Toronto,CA,43.70643,-79.39864
Mogadishu,Mogadishu,2587183,Africa/Mogadishu,SO,2.03711,45.34375
Brisbane,Brisbane,2582007,Australia/Brisbane,AU,-27.46794,153.02809
Daegu,Daegu,2566540,Asia/Seoul,KR,35.87028,128.59111
Bekasi,Bekasi,2564940,Asia/Jakarta,ID,-6.2349,106.9896
Kumasi,Kumasi,2544530,Africa/Accra,GH,6.68848,-1.62443
Faisalabad,Faisalabad,2506595,Asia/Karachi,PK,31.41554,73.08969
İzmir,Izmir,2500603,Europe/Istanbul,TR,38.41273,27.13838
Huai'an,Huai'an,2494013,Asia/Shanghai,CN,33.58861,119.01917
Lucknow,Lucknow,2472011,Asia/Kolkata,IN,26.83928,80.92313
Bandung,Bandung,2444160,Asia/Jakarta,ID,-6.92222,107.60694
Medan,Medan,2435252,Asia/Jakarta,ID,3.58333,98.66667
Ouagadougou,Ouagadougou,2415266,Africa/Ouagadougou,BF,12.36566,-1.53388
Fortaleza,Fortaleza,2400000,America/Fortaleza,BR,-3.71722,-38.54306
Cali,Cali,2392877,America/Bogota,CO,3.43722,-76.5225
Algiers,Algiers,2364230,Africa/Algiers,DZ,36.73225,3.08746
Nanchang,Nanchang,2357839,Asia/Shanghai,CN,28.68396,115.85306
Hohhot,Hohhot,2350000,Asia/Shanghai,CN,40.81056,111.65222
Rome,Rome,2318895,Europe/Rome,IT,41.89193,12.51133
Mashhad,Mashhad,2307177,Asia/Tehran,IR,36.29807,59.60567
Houston,Houston,2304580,America/Chicago,US,29.76328,-95.36327
Kowloon,Kowloon,2303100,Asia/Hong_Kong,HK,22.31667,114.18333
Shaoxing,Shaoxing,2300000,Asia/Shanghai,CN,30.00237,120.57864
Nantong,Nantong,2273326,Asia/Shanghai,CN,32.03028,120.87472
Queens,Queens,2272771,America/New_York,US,40.68149,-73.83652
Nagpur,Nagpur,2228018,Asia/Kolkata,IN,21.14631,79.08491
Yantai,Yantai,2227733,Asia/Shanghai,CN,37.47649,121.44081
Maracaibo,Maracaibo,2225000,America/Caracas,VE,10.66663,-71.61245
Lubumbashi,Lubumbashi,2221925,Africa/Lubumbashi,CD,-11.66089,27.47938
Manaus,Manaus,2219580,America/Manaus,BR,-3.10194,-60.025
Brasília,Brasilia,2207718,America/Sao_Paulo,BR,-15.77972,-47.92972
Zhuhai,Zhuhai,2207090,Asia/Shanghai,CN,22.27694,113.56778
Santo Domingo,Santo Domingo,2201941,America/Santo_Domingo,DO,18.47186,-69.89232
Perth,Perth,2192229,Australia/Perth,AU,-31.95224,115.8614
Nagoya,Nagoya,2191279,Asia/Tokyo,JP,35.18147,136.90641
Havana,Havana,2163824,America/Havana,CU,23.13302,-82.38304
Baotou,Baotou,2150000,Asia/Shanghai,CN,40.6516,109.84389
Paris,Paris,2138551,Europe/Paris,FR,48.85341,2.3488
Coimbatore,Coimbatore,2136916,Asia/Kolkata,IN,11.00555,76.96612
Port Harcourt,Port Harcourt,2120000,Africa/Lagos,NG,4.77742,7.0134
Mbuji-Mayi,Mbuji-Mayi,2101332,Africa/Lubumbashi,CD,-6.13603,23.58979
Aleppo,Aleppo,2098210,Asia/Damascus,SY,36.20124,37.16117
Kunshan,Kunshan,2092496,Asia/Shanghai,CN,31.37762,120.95431
Al Mawşil al Jadīdah,Al Mawsil al Jadidah,2065597,Asia/Baghdad,IQ,36.33271,43.10555
Depok,Depok,2056400,Asia/Jakarta,ID,-6.4,106.81861
Weifang,Weifang,2044028,Asia/Shanghai,CN,36.71,119.10194
Zunyi,Zunyi,2037775,Asia/Shanghai,CN,27.68667,106.90722
Al Başrah al Qadīmah,Al Basrah al Qadimah,2015483,Asia/Baghdad,IQ,30.50316,47.81507
La Paz,La Paz,2004652,America/La_Paz,BO,-16.5,-68.15
Lianyungang,Lianyungang,2001009,Asia/Shanghai,CN,34.59845,119.21556
Medellín,Medellin,1999979,America/Bogota,CO,6.25184,-75.56359
Brazzaville,Brazzaville,1982000,Africa/Brazzaville,CG,-4.26613,15.28318
Tashkent,Tashkent,1978028,Asia/Tashkent,UZ,41.26465,69.21627
Ganzhou,Ganzhou,1977253,Asia/Shanghai,CN,25.84664,114.9326
Almaty,Almaty,1977011,Asia/Almaty,KZ,43.25,76.91667
Khartoum,Khartoum,1974647,Africa/Khartoum,SD,15.55177,32.53241
Sapporo,Sapporo,1973832,Asia/Tokyo,JP,43.06667,141.35
Accra,Accra,1963264,Africa/Accra,GH,5.55602,-0.1969
Curitiba,Curitiba,1948626,America/Sao_Paulo,BR,-25.42778,-49.27306
Ordos,Ordos,1940653,Asia/Shanghai,CN,39.6086,109.78157
Sanaa,Sanaa,1937451,Asia/Aden,YE,15.35472,44.20667
Conakry,Conakry,1928389,Africa/Conakry,GN,9.53795,-13.67729
Tijuana,Tijuana,1922523,America/Tijuana,MX,32.5027,-117.00371
Beirut,Beirut,1916100,Asia/Beirut,LB,33.89332,35.50157
Tangerang,Tangerang,1911914,Asia/Jakarta,ID,-6.17806,106.63
Jieyang,Jieyang,1899394,Asia/Shanghai,CN,23.5418,116.36581
Jilin,Jilin,1895865,Asia/Shanghai,CN,43.85083,126.56028
Bucharest,Bucharest,1877155,Europe/Bucharest,RO,44.43225,26.10626
Camayenne,Camayenne,1871242,Africa/Conakry,GN,9.535,-13.68778
Kakamega,Kakamega,1867579,Africa/Nairobi,KE,0.28422,34.75229
Nanchong,Nanchong,1858875,Asia/Shanghai,CN,30.79508,106.08473
Kaduna,Kaduna,1850000,Africa/Lagos,NG,10.52641,7.43879
Datong,Datong,1850000,Asia/Shanghai,CN,40.09361,113.29139
Hamburg,Hamburg,1845229,Europe/Berlin,DE,53.55073,9.99302
Indore,Indore,1837041,Asia/Kolkata,IN,22.71792,75.8333
Santa Cruz de la Sierra,Santa Cruz de la Sierra,1831434,America/La_Paz,BO,-17.78629,-63.18117
Vadodara,Vadodara,1822221,Asia/Kolkata,IN,22.29941,73.20812
Iztapalapa,Iztapalapa,1815786,America/Mexico_City,MX,19.35529,-99.06224
Nanyang,Nanyang,1811812,Asia/Shanghai,CN,32.99472,112.53278
Gaziantep,Gaziantep,1808948,Europe/Istanbul,TR,37.05944,37.3825
Abu Dhabi,Abu Dhabi,1807000,Asia/Dubai,AE,24.45118,54.39696
Jiangmen,Jiangmen,1795459,Asia/Shanghai,CN,22.58333,113.08333
Diyarbakır,Diyarbakir,1791373,Europe/Istanbul,TR,37.91363,40.21721
Benin City,Benin City,1782000,Africa/Lagos,NG,6.33815,5.62575
Jiangyin,Jiangyin,1779515,Asia/Shanghai,CN,31.91102,120.26302
Adana,Adana,1779463,Europe/Istanbul,TR,36.98615,35.32531
Davao,Davao,1776949,Asia/Manila,PH,7.07306,125.61278
Fuyang,Fuyang,1768947,Asia/Shanghai,CN,32.9,115.81667
Montréal,Montreal,1762949,America/Toronto,CA,45.50884,-73.58781
Bayan Nur,Bayan Nur,1760000,Asia/Shanghai,CN,40.74143,107.38599
Maracay,Maracay,1754256,America/Caracas,VE,10.23535,-67.59113
Chaozhou,Chaozhou,1750945,Asia/Shanghai,CN,23.65396,116.62262
Rawalpindi,Rawalpindi,1743101,Asia/Karachi,PK,33.59733,73.0479
Minsk,Minsk,1742124,Europe/Minsk,BY,53.9,27.56667
Budapest,Budapest,1741041,Europe/Budapest,HU,47.49835,19.04045
Qingyuan,Qingyuan,1738424,Asia/Shanghai,CN,23.7,113.03333
Tai’an,Tai'an,1735425,Asia/Shanghai,CN,36.18528,117.12
León de los Aldama,Leon de los Aldama,1721199,America/Mexico_City,MX,21.12908,-101.67374
Warsaw,Warsaw,1702139,Europe/Warsaw,PL,52.22977,21.01178
Soweto,Soweto,1695047,Africa/Johannesburg,ZA,-26.26781,27.85849
Puebla,Puebla,1692181,America/Mexico_City,MX,19.03793,-98.20346
Vienna,Vienna,1691468,Europe/Vienna,AT,48.20849,16.37208
Mosul,Mosul,1683000,Asia/Baghdad,IQ,36.335,43.11889
Kallakurichi,Kallakurichi,1682687,Asia/Kolkata,IN,11.73379,78.95925
Xining,Xining,1677177,Asia/Shanghai,CN,36.62554,101.75739
Changshu,Changshu,1677050,Asia/Shanghai,CN,31.64615,120.74221
Palembang,Palembang,1668848,Asia/Jakarta,ID,-2.91673,104.7458
Huainan,Huainan,1666826,Asia/Shanghai,CN,32.62639,116.99694
Rabat,Rabat,1655753,Africa/Casablanca,MA,34.01325,-6.83255
Semarang,Semarang,1653524,Asia/Jakarta,ID,-6.99306,110.42083
Recife,Recife,1653461,America/Recife,BR,-8.05389,-34.88111
Suzhou,Suzhou,1647642,Asia/Shanghai,CN,33.63611,116.97889
Ecatepec de Morelos,Ecatepec de Morelos,1645352,America/Mexico_City,MX,19.60492,-99.06064
Lu’an,Lu'an,1644344,Asia/Shanghai,CN,31.73561,116.51688
Barcelona,Barcelona,1620343,Europe/Madrid,ES,41.38879,2.15899
Valencia,Valencia,1619470,America/Caracas,VE,10.16202,-68.00765
Pretoria,Pretoria,1619438,Africa/Johannesburg,ZA,-25.74486,28.18783
Yancheng,Yancheng,1615717,Asia/Shanghai,CN,33.3575,120.1573
Novosibirsk,Novosibirsk,1612833,Asia/Novosibirsk,RU,55.0415,82.9346
Erbil,Erbil,1612700,Asia/Baghdad,IQ,36.18333,44.01193
Phoenix,Phoenix,1608139,America/Phoenix,US,33.44838,-112.07404
Taizhou,Taizhou,1607108,Asia/Shanghai,CN,32.49069,119.90812
Daqing,Daqing,1604027,Asia/Shanghai,CN,46.58333,125.0
Fukuoka,Fukuoka,1603543,Asia/Tokyo,JP,33.6,130.41667
Manila,Manila,1600000,Asia/Manila,PH,14.6042,120.9822
Patna,Patna,1599920,Asia/Kolkata,IN,25.59408,85.13563
Bhopāl,Bhopal,1599914,Asia/Kolkata,IN,23.25469,77.40289
Wuhu,Wuhu,1598165,Asia/Shanghai,CN,31.35259,118.42947
Santiago de Querétaro,Santiago de Queretaro,1594212,America/Mexico_City,MX,20.58806,-100.38806
Dazhou,Dazhou,1589435,Asia/Shanghai,CN,31.2106,107.46308
Yangzhou,Yangzhou,1584237,Asia/Shanghai,CN,32.39722,119.43583
Mecca,Mecca,1578722,Asia/Riyadh,SA,21.42664,39.82563
Philadelphia,Philadelphia,1576251,America/New_York,US,39.95238,-75.16362
Phnom Penh,Phnom Penh,1573544,Asia/Phnom_Penh,KH,11.56245,104.91601
Guilin,Guilin,1572300,Asia/Shanghai,CN,25.28022,110.29639
Damascus,Damascus,1569394,Asia/Damascus,SY,33.5102,36.29128
Zhaoqing,Zhaoqing,1553109,Asia/Shanghai,CN,23.04893,112.46091
Onitsha,Onitsha,1553000,Africa/Lagos,NG,6.14978,6.78569
Mianyang,Mianyang,1550000,Asia/Shanghai,CN,31.46784,104.68168
Isfahan,Isfahan,1547164,Asia/Tehran,IR,32.65246,51.67462
Ludhiāna,Ludhiana,1545368,Asia/Kolkata,IN,30.91204,75.85379
Harare,Harare,1542813,Africa/Harare,ZW,-17.82772,31.05337
Monrovia,Monrovia,1542549,Africa/Monrovia,LR,6.30054,-10.7969
Putian,Putian,1539389,Asia/Shanghai,CN,25.43944,119.01028
Shangqiu,Shangqiu,1536392,Asia/Shanghai,CN,34.45,115.65
Goiânia,Goiania,1536097,America/Sao_Paulo,BR,-16.67861,-49.25389
Kawasaki,Kawasaki,1531646,Asia/Tokyo,JP,35.52056,139.71722
Kobe,Kobe,1522188,Asia/Tokyo,JP,34.6913,135.183
Kaohsiung,Kaohsiung,1519711,Asia/Taipei,TW,22.61626,120.31333
Stockholm,Stockholm,1515017,Europe/Stockholm,SE,59.32938,18.06871
Ciudad Juárez,Ciudad Juarez,1501551,America/Ciudad_Juarez,MX,31.72024,-106.46084
Khulna,Khulna,1500689,Asia/Dhaka,BD,22.80979,89.56439
Caloocan City,Caloocan City,1500000,Asia/Manila,PH,14.64953,120.96788
Belém,Belem,1499641,America/Belem,BR,-1.45583,-48.50444
Yekaterinburg,Yekaterinburg,1495066,Asia/Yekaterinburg,RU,56.8519,60.6122
Gwangju,Gwangju,1490092,Asia/Seoul,KR,35.15472,126.91556
Porto Alegre,Porto Alegre,1488252,America/Sao_Paulo,BR,-30.03283,-51.23019
Yinchuan,Yinchuan,1487579,Asia/Shanghai,CN,38.46806,106.27306
Manhattan,Manhattan,1487536,America/New_York,US,40.78343,-73.96625
Taizhou,Taizhou,1485502,Asia/Shanghai,CN,28.66266,121.43312
Asunción,Asuncion,1482200,America/Asuncion,PY,-25.28646,-57.647
Yiwu,Yiwu,1481384,Asia/Shanghai,CN,29.31506,120.07676
Zapopan,Zapopan,1476491,America/Mexico_City,MX,20.72356,-103.38479
Daejeon,Daejeon,1469543,Asia/Seoul,KR,36.34913,127.38493
Quanzhou,Quanzhou,1469157,Asia/Shanghai,CN,24.91389,118.58583
Madurai,Madurai,1465625,Asia/Kolkata,IN,9.919,78.11953
Jinhua,Jinhua,1463990,Asia/Shanghai,CN,29.10678,119.64421
Kyoto,Kyoto,1463723,Asia/Tokyo,JP,35.02107,135.75385
Cixi,Cixi,1457510,Asia/Shanghai,CN,30.1764,121.2457
Changde,Changde,1457419,Asia/Shanghai,CN,29.03205,111.69844
Kuala Lumpur,Kuala Lumpur,1453975,Asia/Kuala_Lumpur,MY,3.1412,101.68653
Kaifeng,Kaifeng,1451741,Asia/Shanghai,CN,34.7986,114.30742
Anshan,Anshan,1450000,Asia/Shanghai,CN,41.12361,122.99
Karaj,Karaj,1448075,Asia/Tehran,IR,35.83266,50.99155
Kathmandu,Kathmandu,1442271,Asia/Kathmandu,NP,27.70169,85.3206
Baoji,Baoji,1437802,Asia/Shanghai,CN,34.36775,107.23705
Suqian,Suqian,1437685,Asia/Shanghai,CN,33.94917,118.29583
Multan,Multan,1437230,Asia/Karachi,PK,30.19679,71.47824
Liuzhou,Liuzhou,1436599,Asia/Shanghai,CN,24.32405,109.40698
Tirunelveli,Tirunelveli,1435844,Asia/Kolkata,IN,8.72742,77.6838
San Antonio,San Antonio,1434625,America/Chicago,US,29.42412,-98.49363
Kharkiv,Kharkiv,1433886,Europe/Kyiv,UA,49.98081,36.25272
Zhangjiagang,Zhangjiagang,1432044,Asia/Shanghai,CN,31.865,120.53889
Agra,Agra,1430055,Asia/Kolkata,IN,27.18333,78.01667
Tabriz,Tabriz,1424641,Asia/Tehran,IR,38.08,46.2919
Makassar,Makassar,1423877,Asia/Makassar,ID,-5.14861,119.43194
Jinjiang,Jinjiang,1416151,Asia/Shanghai,CN,24.81978,118.57415
Bozhou,Bozhou,1409436,Asia/Shanghai,CN,33.87722,115.77028
Qujing,Qujing,1408500,Asia/Shanghai,CN,25.48333,103.78333
Zhanjiang,Zhanjiang,1400709,Asia/Shanghai,CN,21.23391,110.38749
Fushun,Fushun,1400646,Asia/Shanghai,CN,41.88669,123.94363
San Diego,San Diego,1394928,America/Los_Angeles,US,32.71571,-117.16472
Rājkot,Rajkot,1390640,Asia/Kolkata,IN,22.29161,70.79322
Luoyang,Luoyang,1390581,Asia/Shanghai,CN,34.68361,112.45361
Konya,Konya,1390051,Europe/Istanbul,TR,37.87135,32.48464
Adelaide,Adelaide,1387290,Australia/Adelaide,AU,-34.92866,138.59863
Hyderabad,Hyderabad,1386330,Asia/Karachi,PK,25.39689,68.37718
Guadalajara,Guadalajara,1385629,America/Mexico_City,MX,20.66682,-103.39182
The Bronx,The Bronx,1385108,America/New_York,US,40.84985,-73.86641
Gujranwala,Gujranwala,1384471,Asia/Karachi,PK,32.15567,74.18705
Guankou,Guankou,1380000,Asia/Shanghai,CN,28.15861,113.62709
Milan,Milan,1371498,Europe/Rome,IT,45.46427,9.18951
South Tangerang,South Tangerang,1365688,Asia/Jakarta,ID,-6.28862,106.71789
Najafgarh,Najafgarh,1365000,Asia/Kolkata,IN,28.60922,76.97982
N'Djamena,N'Djamena,1359526,Africa/Ndjamena,TD,12.10672,15.0444
Handan,Handan,1358318,Asia/Shanghai,CN,36.60999,114.48764
Kampala,Kampala,1353189,Africa/Kampala,UG,0.31628,32.58219
Yichang,Yichang,1350150,Asia/Shanghai,CN,30.71444,111.28472
Antananarivo,Antananarivo,1349501,Indian/Antananarivo,MG,-18.91368,47.53613
Heze,Heze,1346717,Asia/Shanghai,CN,35.23929,115.47358
Antalya,Antalya,1344000,Europe/Istanbul,TR,36.90812,30.69556
Abobo,Abobo,1340083,Africa/Abidjan,CI,5.41613,-4.0159
Jamshedpur,Jamshedpur,1339438,Asia/Kolkata,IN,22.80278,86.18545
Douala,Douala,1338082,Africa/Douala,CM,4.04827,9.70428
Basrah,Basrah,1326564,Asia/Baghdad,IQ,30.50852,47.7804
Saitama,Saitama,1324854,Asia/Tokyo,JP,35.90807,139.65657
Gorakhpur,Gorakhpur,1324570,Asia/Kolkata,IN,29.44768,75.67206
Niamey,Niamey,1323691,Africa/Niamey,NE,13.51366,2.1098
Liupanshui,Liupanshui,1320825,Asia/Shanghai,CN,26.59444,104.83333
Córdoba,Cordoba,1317298,America/Argentina/Cordoba,AR,-31.4135,-64.18105
Maoming,Maoming,1307802,Asia/Shanghai,CN,21.66625,110.91364
Tripoli,Tripoli,1302947,Africa/Tripoli,LY,32.88743,13.18733
Dallas,Dallas,1300092,America/Chicago,US,32.78306,-96.80667
Medina,Medina,1300000,Asia/Riyadh,SA,24.46861,39.61417
Callao,Callao,1300000,America/Lima,PE,-12.05659,-77.11814
Yaoundé,Yaounde,1299369,Africa/Douala,CM,3.86667,11.51667
Qinzhou,Qinzhou,1296300,Asia/Shanghai,CN,21.98247,108.65061
